NIT,SXT,CIP,LVX,iat_prop,broad_prop
0.015,0.001,0.4,0.4,0.06805335229130352,0.659678995505953
0.015,0.001,0.5,0.5,0.059744095573514414,0.7633172830933461
0.015,0.001,0.6,0.6,0.054442492787269856,0.8476209338462063
0.015,0.001,0.7,0.7,0.05039634182886595,0.9076116613860524
0.015,0.001,0.8,0.8,0.050864125542269364,0.9390851219093006
0.015,0.001,0.9,0.9,0.053411388350990914,0.9510256451734604
0.015,0.015,0.001,0.001,0.11136414549344238,0.012290598515396621
0.015,0.015,0.015,0.015,0.10910066470741628,0.05298110421724556
0.015,0.015,0.1,0.1,0.09920264034920108,0.2201747622744044
0.015,0.015,0.2,0.2,0.08933251384940659,0.3628429519928799
0.015,0.015,0.3,0.3,0.07906595554289031,0.5111733774093072
0.015,0.015,0.4,0.4,0.06885583660777869,0.6456956613441351
0.015,0.015,0.5,0.5,0.06077238158985745,0.7469032893539176
0.015,0.015,0.6,0.6,0.05584931275984563,0.8264671478709712
0.015,0.015,0.7,0.7,0.05221081831997089,0.8823899240891613
0.015,0.015,0.8,0.8,0.05273490856535499,0.9129641262002484
0.015,0.015,0.9,0.9,0.05481846375807063,0.9242160623130092
0.015,0.1,0.001,0.001,0.11797481173373132,0.008999762263212151
0.015,0.1,0.015,0.015,0.1163011536896092,0.03971153998513338
0.015,0.1,0.1,0.1,0.10856917226308978,0.16727606165917516
0.015,0.1,0.2,0.2,0.10013155358215177,0.2858243402022425
0.015,0.1,0.3,0.3,0.09108918688361872,0.4192228157665771
0.015,0.1,0.4,0.4,0.08196267151653935,0.5424979828164165
0.015,0.1,0.5,0.5,0.07456721147806346,0.6372223755622799
0.015,0.1,0.6,0.6,0.07023665506301605,0.7101172571024008
0.015,0.1,0.7,0.7,0.06716161969125202,0.7611724913858099
0.015,0.1,0.8,0.8,0.06776985229411048,0.7906070442415858
0.015,0.1,0.9,0.9,0.06974054500433667,0.8015217437358458
0.015,0.2,0.001,0.001,0.12654083605450367,0.006747828554054608
0.015,0.2,0.015,0.015,0.12547195257258653,0.02707724188964481
0.015,0.2,0.1,0.1,0.12084725667834753,0.0970636897186122
0.015,0.2,0.2,0.2,0.11494138591387924,0.17841502419796576
